time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2015-10-19T17:57:01.610Z,-30.66,-71.5832,40.65,4.1,mb,,87,0.046,1.35,us,us10003pr8,2015-10-20T02:00:22.868Z,"37km W of Ovalle, Chile",earthquake
2015-10-19T14:37:51.950Z,-33.4845,-70.8617,79.17,4.7,mb,,54,0.138,0.65,us,us10003pni,2015-10-19T23:56:06.178Z,"13km WSW of Lo Prado, Chile",earthquake
2015-10-19T04:37:13.150Z,-30.3039,-72.2322,10,4.5,mwr,,88,0.633,0.96,us,us10003pl1,2015-10-19T12:39:48.250Z,"94km WSW of Coquimbo, Chile",earthquake
2015-10-19T02:41:00.670Z,-34.7992,-71.6758,45.29,4.5,mb,,133,0.296,0.38,us,us10003pkk,2015-10-19T18:06:11.168Z,"33km WSW of Santa Cruz, Chile",earthquake
2015-10-18T12:48:43.130Z,-35.9221,-72.7917,44.09,4.9,mb,,134,1.127,0.48,us,us10003phn,2015-10-19T02:52:38.042Z,"42km W of Cauquenes, Chile",earthquake
2015-10-17T11:33:07.750Z,-25.409,-64.4368,8.23,5.9,mwb,,37,4.202,0.77,us,us10003pc9,2015-10-18T15:14:00.029Z,"21km E of El Galpon, Argentina",earthquake
2015-10-17T08:38:55.280Z,-31.6677,-72.228,16.69,4.2,mwr,,180,1.113,0.58,us,us10003pbi,2015-10-17T16:41:35.063Z,"100km W of Illapel, Chile",earthquake
2015-10-17T07:01:27.090Z,-20.6407,-70.7931,14.28,4.5,mwr,,155,0.578,0.72,us,us10003pb9,2015-10-17T15:46:04.933Z,"82km SW of Iquique, Chile",earthquake
2015-10-16T16:58:30.370Z,-30.5563,-71.7343,34.83,4.1,mwr,,133,0.145,2.42,us,us10003p6i,2015-10-17T01:01:07.549Z,"51km W of Ovalle, Chile",earthquake
2015-10-16T12:49:09.910Z,-31.4403,-72.0291,34.18,4.1,mb,,196,0.835,0.76,us,us10003p4f,2015-10-17T15:28:08.040Z,"84km WNW of Illapel, Chile",earthquake
2015-10-16T07:18:40.960Z,-19.9797,-66.8654,235.94,5,mb,,24,2.156,1.14,us,us10003p2p,2015-10-17T16:36:51.000Z,"36km NNE of Colchani, Bolivia",earthquake
2015-10-16T04:43:56.030Z,-19.975,-68.8445,117.54,4.7,mb,,31,0.334,1,us,us10003p1x,2015-10-16T15:39:32.000Z,"138km E of Iquique, Chile",earthquake
2015-10-15T22:18:45.940Z,-30.6703,-71.7228,30.17,4,mwr,,128,0.075,1.38,us,us10003p0e,2015-10-16T17:06:02.426Z,"50km W of Ovalle, Chile",earthquake
2015-10-15T20:39:01.240Z,-30.5711,-71.6499,28.95,4.5,mb,,145,0.103,0.69,us,us10003nyw,2015-10-16T18:54:36.040Z,"43km W of Ovalle, Chile",earthquake
2015-10-15T19:23:22.090Z,-30.5426,-71.6245,31.23,4.9,mb,,81,0.131,1.02,us,us10003ny7,2015-10-16T15:20:32.000Z,"41km W of Ovalle, Chile",earthquake
2015-10-15T18:01:31.020Z,-22.7633,-69.0173,112.11,4.4,mb,,57,0.179,0.69,us,us10003nxs,2015-10-16T02:04:00.283Z,"33km SSW of Calama, Chile",earthquake
