time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-01-01T05:46:17.430Z,-30.9008,-71.7693,7.13,4.4,mb,,191,0.254,0.76,us,us10004aph,2016-03-28T22:09:31.040Z,"63km WSW of Ovalle, Chile",earthquake,6.3,3.8,0.38,2,reviewed,us,us
2016-01-01T06:03:32.400Z,-31.5182,-71.5358,30.65,4.4,mb,,169,0.846,0.96,us,us10004api,2016-03-28T22:09:31.040Z,"37km WNW of Illapel, Chile",earthquake,2.6,6.7,0.179,9,reviewed,us,us
2016-01-01T10:28:52.940Z,-34.3384,-72.3718,19.64,4,mwr,,147,0.762,0.71,us,us10004aq7,2016-03-28T22:09:32.040Z,"97km WNW of Santa Cruz, Chile",earthquake,4.2,4.6,0.056,31,reviewed,us,us
2016-01-02T14:15:44.700Z,-30.4197,-72.2837,10,4.5,mb,,193,0.614,0.93,us,us10004avp,2016-03-28T22:09:33.040Z,"104km WSW of Coquimbo, Chile",earthquake,4.3,1.8,0.27,4,reviewed,us,us
2016-01-02T18:38:18.020Z,-57.7747,-25.8889,87.65,4.5,mb,,66,6.891,0.92,us,us10004dhg,2016-03-28T22:09:33.040Z,"143km SSE of Visokoi Island, South Georgia and the South Sandwich Islands",earthquake,7.3,6.5,0.15,14,reviewed,us,us
2016-01-03T02:50:12.690Z,-55.6725,-29.0184,33.63,4.3,mb,,76,4.522,0.84,us,us10004dyz,2016-03-28T22:09:34.040Z,"160km NW of Visokoi Island, South Georgia and the South Sandwich Islands",earthquake,15,6.2,0.189,8,reviewed,us,us
2016-01-03T11:04:33.550Z,-32.9464,-69.2749,10,4.5,mb,,39,1.089,1.09,us,us10004bfa,2016-03-28T22:09:34.040Z,"42km W of Mendoza, Argentina",earthquake,4.8,1.7,0.145,14,reviewed,us,us
2016-01-03T12:21:57.730Z,-20.4525,-68.6384,110.74,4.3,mb,,66,0.574,1.2,us,us10004b0n,2016-03-28T22:09:34.040Z,"159km E of Iquique, Chile",earthquake,5.9,5.5,0.142,14,reviewed,us,us
2016-01-03T17:02:23.810Z,-29.3798,-72.0044,10,4.1,mwr,,85,0.856,0.6,us,us10004b1h,2016-03-28T22:09:34.040Z,"90km NW of Coquimbo, Chile",earthquake,2.8,1.9,0.054,33,reviewed,us,us
2016-01-04T15:16:11.150Z,-30.8671,-71.8947,28.5,4.3,mb,,189,0.295,0.76,us,us10004b7x,2016-03-28T22:09:37.040Z,"72km WSW of Ovalle, Chile",earthquake,6.7,3.6,0.377,2,reviewed,us,us
2016-01-04T21:14:49.250Z,-23.9993,-66.8021,183.12,4.3,mb,,37,2.379,0.97,us,us10004bda,2016-03-28T22:09:37.040Z,"54km WNW of San Antonio de los Cobres, Argentina",earthquake,8.5,6.9,0.09,35,reviewed,us,us
2016-01-05T10:33:40.340Z,-59.0472,-25.5758,53.43,4.8,mb,,82,7.672,0.7,us,us10004bgp,2016-03-28T22:09:38.040Z,"54km E of Bristol Island, South Sandwich Islands",earthquake,11.1,5.7,0.082,46,reviewed,us,us
2016-01-05T17:45:54.860Z,-20.0656,-69.2677,101.98,4.2,mb,,54,0.131,0.94,us,us10004bkd,2016-03-28T22:09:38.040Z,"93km E of Iquique, Chile",earthquake,5.7,5.6,0.236,5,reviewed,us,us
2016-01-06T05:10:23.000Z,-32.201,-71.686,27,4,ml,,,,0.94,us,us10004bpe,2016-03-28T22:09:40.040Z,"51km WNW of La Ligua, Chile",earthquake,2.5,8.3,,,reviewed,guc,guc
2016-01-06T12:41:07.730Z,-21.6039,-70.3759,31.38,4.4,mwr,,136,0.471,0.83,us,us10004bt4,2016-03-28T22:09:40.040Z,"57km NNW of Tocopilla, Chile",earthquake,4,4.8,0.051,37,reviewed,us,us
2016-01-06T14:48:52.460Z,-56.2665,-27.2498,117.15,4.4,mb,,78,5.642,0.39,us,us10004c5r,2016-03-28T22:09:41.040Z,"48km N of Visokoi Island, South Georgia and the South Sandwich Islands",earthquake,10,8.4,0.154,12,reviewed,us,us
2016-01-06T21:23:20.400Z,-29.1558,-68.9521,84.89,4.7,mb,,41,1.537,1.08,us,us10004bwx,2016-03-28T22:09:41.040Z,"84km WSW of Vinchina, Argentina",earthquake,6.5,5.8,0.104,28,reviewed,us,us
2016-01-07T02:09:43.600Z,-30.6311,-71.6563,30.28,4.5,mb,,140,0.046,0.4,us,us10004byi,2016-03-28T22:09:42.040Z,"43km W of Ovalle, Chile",earthquake,4.4,5.2,0.157,12,reviewed,us,us
2016-01-07T15:40:42.920Z,-41.6653,-74.0885,22.6,5,mww,,116,0.529,0.7,us,us10004c4b,2016-11-10T22:07:22.454Z,"31km NW of Ancud, Chile",earthquake,5.6,3.5,,,reviewed,us,us
2016-01-08T01:12:01.020Z,-30.664,-71.6383,24.03,5.7,mww,,76,0.01,0.79,us,us10004c96,2016-11-10T22:07:25.224Z,"42km W of Ovalle, Chile",earthquake,4.6,3,,,reviewed,us,us
2016-01-08T01:39:13.600Z,-30.6031,-71.8121,10.31,4.3,mb,,191,0.168,1.11,us,us10004egl,2016-03-30T02:27:48.040Z,"58km W of Ovalle, Chile",earthquake,6.2,1.6,0.53,1,reviewed,us,us
2016-01-08T03:00:54.330Z,-30.5538,-71.6456,27.1,4.2,mb,,159,0.724,1.09,us,us10004efw,2016-03-30T02:27:48.040Z,"43km W of Ovalle, Chile",earthquake,7.1,6.5,0.304,3,reviewed,us,us
2016-01-08T03:11:28.000Z,-29.644,-72.1303,4.53,4.6,mb,,143,0.822,0.97,us,us10004cam,2016-03-30T02:27:48.040Z,"83km WNW of Coquimbo, Chile",earthquake,3.4,3.7,0.133,17,reviewed,us,us
2016-01-08T03:49:03.530Z,-60.7026,-26.759,47.88,4.8,mb,,104,8.291,0.57,us,us10004cbh,2016-03-30T02:27:48.040Z,"186km S of Bristol Island, South Sandwich Islands",earthquake,12.8,6.3,0.097,33,reviewed,us,us
2016-01-08T09:21:17.100Z,-22.3535,-67.6073,147.45,4.7,mb,,41,1.233,0.9,us,us10004cbl,2016-03-30T02:27:48.040Z,"88km NE of San Pedro de Atacama, Chile",earthquake,2.8,6.4,0.059,89,reviewed,us,us
2016-01-08T12:12:34.900Z,-41.6889,-74.1704,20.88,4.3,mwr,,98,0.594,0.81,us,us10004cce,2016-03-30T02:27:49.040Z,"35km NW of Ancud, Chile",earthquake,6.1,4,0.058,29,reviewed,us,us
2016-01-08T14:15:30.470Z,-57.2269,-25.2483,47.04,4.5,mb,,126,6.994,0.61,us,us10004ega,2016-03-30T02:27:49.040Z,"132km ESE of Visokoi Island, South Georgia and the South Sandwich Islands",earthquake,12.6,7.9,0.156,12,reviewed,us,us
2016-01-08T18:41:01.450Z,-32.9597,-70.6051,87.29,4.6,mb,,78,0.192,0.73,us,us10004ceg,2016-03-30T02:27:49.040Z,"13km S of Los Andes, Chile",earthquake,5.1,4.1,0.122,22,reviewed,us,us
2016-01-09T18:47:18.340Z,-31.757,-68.1695,94.02,4.6,mwr,,47,0.487,0.98,us,us10004d61,2016-03-30T02:27:51.040Z,"15km SE of Caucete, Argentina",earthquake,7.2,4.1,0.06,27,reviewed,us,us
2016-01-10T04:36:39.000Z,-36.3824,-72.6483,40.79,4.7,mwr,,115,1.172,0.76,us,us10004d8q,2016-11-10T22:07:41.673Z,"37km NE of Tome, Chile",earthquake,7.3,3.6,0.051,37,reviewed,us,us
2016-01-10T13:33:35.760Z,-31.3272,-71.7545,26.22,5,mwr,,58,0.659,0.89,us,us10004db0,2016-03-30T02:27:52.040Z,"65km WNW of Illapel, Chile",earthquake,4.8,3.3,,,reviewed,us,guc
2016-01-10T14:13:27.530Z,-57.9811,-25.4305,35,4.5,mb,,66,16.258,0.72,us,us10004evb,2016-03-30T02:27:52.040Z,"133km NNE of Bristol Island, South Sandwich Islands",earthquake,13.3,2,0.164,11,reviewed,us,us
2016-01-10T23:01:50.840Z,-30.5973,-71.596,33.67,3.9,mwr,,167,0.083,0.86,us,us10004ddu,2016-03-30T02:27:53.040Z,"37km W of Ovalle, Chile",earthquake,4.6,5.7,0.068,21,reviewed,us,us
2016-01-11T07:51:02.210Z,-31.461,-69.4346,105.43,4.6,mb,,62,0.646,0.84,us,us10004dg3,2016-03-30T02:27:54.040Z,"14km S of Calingasta, Argentina",earthquake,3.2,4.6,0.062,78,reviewed,us,us
2016-01-11T21:16:34.270Z,-31.2248,-71.7032,29.4,4.1,mb,,156,0.552,0.54,us,us10004dln,2016-03-30T02:27:55.040Z,"68km NW of Illapel, Chile",earthquake,6.4,6.9,0.235,5,reviewed,us,us
2016-01-12T05:45:47.490Z,-20.6792,-63.2008,566.48,4.5,mb,,48,5.081,0.51,us,us10004dps,2016-03-30T02:27:56.040Z,"16km WNW of Carandayti, Bolivia",earthquake,12.7,7.2,0.15,13,reviewed,us,us
2016-01-12T18:02:13.900Z,-59.2136,-25.8201,62.88,5,mb,,59,7.663,1.07,us,us10004fdy,2016-03-30T02:27:56.040Z,"44km ESE of Bristol Island, South Sandwich Islands",earthquake,11,4.9,0.083,46,reviewed,us,us
2016-01-12T19:01:53.600Z,-30.6525,-71.6078,32.3,4.1,mwr,,113,0.031,1.27,us,us10004dt3,2016-03-30T02:27:57.040Z,"39km W of Ovalle, Chile",earthquake,3.8,4.9,0.068,21,reviewed,us,us
2016-01-13T11:36:47.720Z,-23.5385,-68.0434,113.51,4.5,mwr,,35,1.219,0.86,us,us10004e2a,2016-03-30T02:27:57.040Z,"71km SSE of San Pedro de Atacama, Chile",earthquake,3.6,5.2,0.062,25,reviewed,us,us
2016-01-13T13:09:18.800Z,-32.7888,-68.8019,54.42,4.2,mb,,69,1.473,0.61,us,us10004e3c,2016-03-30T02:27:58.040Z,"11km NNE of Mendoza, Argentina",earthquake,8.1,8.7,0.215,6,reviewed,us,us
2016-01-13T13:31:03.590Z,-24.1458,-67.0801,159.79,4.9,mb,,40,2.271,0.68,us,us10004e3e,2016-03-30T02:27:58.040Z,"77km W of San Antonio de los Cobres, Argentina",earthquake,7.9,6,0.078,52,reviewed,us,us
2016-01-13T19:57:35.560Z,-55.3809,-28.9109,10,4.5,mb,,98,4.517,0.29,us,us10004flt,2016-03-30T02:27:58.040Z,"181km NW of Visokoi Island, South Georgia and the South Sandwich Islands",earthquake,15,1.9,0.205,7,reviewed,us,us
2016-01-13T21:36:14.040Z,-59.5704,-26.0497,10,4.6,mb,,83,15.302,0.63,us,us10004flp,2016-03-30T02:27:58.040Z,"65km SSE of Bristol Island, South Sandwich Islands",earthquake,14.7,1.9,0.114,23,reviewed,us,us
2016-01-14T00:29:40.450Z,-28.6434,-70.0112,97.45,4.4,mb,,56,0.707,1.39,us,us10004fmy,2016-03-30T02:27:59.040Z,"73km E of Vallenar, Chile",earthquake,5.3,6,0.161,11,reviewed,us,us
2016-01-15T03:04:41.460Z,-56.5109,-27.3708,67.74,4.6,mb,,68,5.654,0.83,us,us10004g1m,2016-04-06T17:30:20.040Z,"23km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",earthquake,9.3,6.3,0.129,18,reviewed,us,us
2016-01-15T20:32:55.090Z,-28.4636,-67.9168,25.68,4.9,mww,,19,1.946,0.98,us,us10004eym,2016-11-10T22:08:31.101Z,"43km NE of Vinchina, Argentina",earthquake,5.6,3.3,,,reviewed,us,us
2016-01-16T00:05:04.110Z,-59.8272,-26.1812,156.57,4.2,mb,,114,7.896,0.45,us,us10004g1s,2016-04-06T17:30:21.040Z,"90km SSE of Bristol Island, South Sandwich Islands",earthquake,6.4,11.3,0.11,23,reviewed,us,us
2016-01-16T03:37:13.560Z,-28.3278,-67.5022,129.94,4.6,mb,,81,2.073,1.14,us,us10004f06,2016-04-06T17:30:21.040Z,"29km SSE of Tinogasta, Argentina",earthquake,6.3,8,0.117,23,reviewed,us,us
2016-01-16T09:42:33.360Z,-37.9495,-75.3077,10,4.5,mwr,,83,2.856,0.5,us,us10004f1m,2016-11-10T22:08:35.660Z,"150km WSW of Lebu, Chile",earthquake,7.4,1.8,0.068,21,reviewed,us,us
2016-01-16T20:36:40.000Z,-31.251,-71.747,29.2,4.2,mb,,,,0.83,us,us20004zn3,2016-04-06T17:30:23.040Z,"69km NW of Illapel, Chile",earthquake,4.8,2.8,0.236,5,reviewed,guc,us
2016-01-16T21:00:13.960Z,-29.696,-68.8906,100.12,4.1,mb,,58,1.721,1.3,us,us10004g2e,2016-04-06T17:30:23.040Z,"61km NNW of San Jose de Jachal, Argentina",earthquake,5.9,6.8,0.214,6,reviewed,us,us
2016-01-17T05:23:56.270Z,-56.3651,-27.3482,124.89,4.6,mb,,68,5.619,0.98,us,us10004gc7,2016-04-06T17:30:23.040Z,"38km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",earthquake,11.4,8.2,0.098,31,reviewed,us,us
2016-01-17T15:28:38.980Z,-21.3044,-68.763,90.29,5,mwr,,42,0.662,0.84,us,us10004f7g,2016-11-10T22:08:49.718Z,"129km N of Calama, Chile",earthquake,5.1,4,,,reviewed,us,guc
2016-01-17T17:05:38.400Z,-26.4372,-70.8561,36.87,5,mb,,139,1.278,1.31,us,us10004f80,2016-04-06T17:30:24.040Z,"80km W of Diego de Almagro, Chile",earthquake,1.9,6.5,0.17,11,reviewed,us,us
2016-01-17T22:01:31.970Z,-20.6511,-69.0164,110.32,4.4,mb,,61,0.523,0.74,us,us10004gc1,2016-04-06T17:30:24.040Z,"126km ESE of Iquique, Chile",earthquake,4.9,4.9,0.219,6,reviewed,us,us
2016-01-18T18:29:54.440Z,-57.9408,-25.5082,35,4.5,mb,,99,16.636,0.67,us,us10004gd5,2016-04-06T17:30:26.040Z,"135km NNE of Bristol Island, South Sandwich Islands",earthquake,15.7,1.6,0.222,6,reviewed,us,us
2016-01-19T07:08:48.030Z,-31.9282,-71.2404,74.68,4.3,mb,,133,1.017,0.78,us,us10004fif,2016-04-06T17:30:26.040Z,"30km SW of Salamanca, Chile",earthquake,4.7,6.9,0.154,12,reviewed,us,us
2016-01-19T08:43:44.410Z,-29.6893,-69.1636,110.42,4.6,mb,,46,1.499,0.6,us,us10004fit,2016-04-06T17:30:26.040Z,"73km NNW of San Jose de Jachal, Argentina",earthquake,7.5,6.9,0.085,41,reviewed,us,us
2016-01-19T11:39:40.000Z,-22.97,-69.009,96.5,4.7,mb,,,,1.48,us,us10004fk3,2016-04-06T17:30:27.040Z,"56km S of Calama, Chile",earthquake,6.7,4.8,0.056,99,reviewed,guc,us
2016-01-19T13:04:10.270Z,-60.25,-26.4712,10,4.7,mb,,79,14.679,0.53,us,us10004fkm,2016-04-06T17:30:27.040Z,"135km S of Bristol Island, South Sandwich Islands",earthquake,12.9,1.9,0.098,32,reviewed,us,us
2016-01-19T21:45:27.990Z,-30.4423,-71.6339,28.45,4,mwr,,185,0.23,0.65,us,us10004gfl,2016-04-06T17:30:27.040Z,"45km WNW of Ovalle, Chile",earthquake,5.7,5.9,0.063,24,reviewed,us,us
2016-01-20T00:09:44.770Z,-56.5562,-28.1603,144.27,4,mb,,137,5.261,1.26,us,us20004uqd,2016-04-06T17:30:27.040Z,"61km WNW of Visokoi Island, South Georgia and the South Sandwich Islands",earthquake,9.7,9.8,0.164,10,reviewed,us,us
2016-01-20T07:24:50.730Z,-30.5749,-71.6757,29.27,4.5,mb,,107,0.104,0.92,us,us20004uqq,2016-04-06T17:30:28.040Z,"45km W of Ovalle, Chile",earthquake,6.1,3.6,0.192,8,reviewed,us,us
2016-01-21T06:07:02.290Z,-30.5467,-71.2939,56.11,4.2,mb,,118,0.32,0.84,us,us10004fzl,2016-04-06T17:30:29.040Z,"10km WNW of Ovalle, Chile",earthquake,6.8,9.7,0.371,2,reviewed,us,us
