time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
1999-12-29T02:18:42.470Z,-55.442,-26.966,33,4.7,mb,,,,1.09,us,usp0009kds,2014-11-07T01:09:12.150Z,"South Sandwich Islands region",earthquake
1999-12-26T00:17:32.490Z,-57.077,-26.163,106.9,4.5,mb,,,,0.89,us,usp0009kab,2014-11-07T01:09:11.664Z,"South Sandwich Islands region",earthquake
1999-12-22T08:39:40.290Z,-57.196,-26.437,192.3,4.1,mb,,,,1.18,us,usp0009k4p,2014-11-07T01:09:10.679Z,"South Sandwich Islands region",earthquake
1999-12-20T19:31:49.160Z,-55.571,-26.339,33,4.4,mb,,,,0.5,us,usp0009k2m,2014-11-07T01:09:10.402Z,"South Sandwich Islands region",earthquake
1999-12-20T18:27:29.420Z,-55.654,-26.404,33,5.2,mb,,,,1.07,us,usp0009k2k,2014-11-07T01:09:10.397Z,"South Sandwich Islands region",earthquake
1999-12-16T06:14:43.510Z,-57.664,-25.259,60.4,4.3,mb,,,,1.31,us,usp0009jwt,2014-11-07T01:09:09.674Z,"South Sandwich Islands region",earthquake
1999-12-08T01:46:40.110Z,-58.013,-25.347,33,4.2,mb,,,,0.98,us,usp0009jkq,2014-11-07T01:09:08.001Z,"South Sandwich Islands region",earthquake
1999-12-02T22:28:13.280Z,-59.434,-25.805,33,4.7,mb,,,,1.2,us,usp0009jds,2014-11-07T01:09:05.340Z,"South Sandwich Islands region",earthquake
1999-12-02T22:11:02.410Z,-59.542,-25.958,33,4.7,mb,,,,1.31,us,usp0009jdr,2014-11-07T01:09:05.320Z,"South Sandwich Islands region",earthquake
1999-11-28T05:34:18.240Z,-57.486,-26.806,118.4,4.3,mb,,,,1.04,us,usp0009j87,2014-11-07T01:09:01.191Z,"South Sandwich Islands region",earthquake
1999-11-25T10:18:34.730Z,-56.305,-25.72,33,5,mb,,,,0.7,us,usp0009j2f,2014-11-07T01:09:00.273Z,"South Sandwich Islands region",earthquake
1999-11-21T10:39:53.080Z,-55.726,-26.949,33,4.8,mb,,,,0.97,us,usp0009hy1,2014-11-07T01:08:59.413Z,"South Sandwich Islands region",earthquake
1999-11-21T08:05:25.690Z,-56.131,-27.121,133.1,4.1,mb,,,,0.67,us,usp0009hxu,2014-11-07T01:08:59.398Z,"South Sandwich Islands region",earthquake
1999-11-20T22:05:02.360Z,-55.581,-28.617,33,4.3,mb,,,,0.7,us,usp0009hwv,2014-11-07T01:08:59.249Z,"South Sandwich Islands region",earthquake
1999-11-15T02:27:11.080Z,-57.9,-25.47,33,4.4,mb,,,,0.91,us,usp0009hnk,2014-11-07T01:08:58.239Z,"South Sandwich Islands region",earthquake
1999-11-14T15:29:32.700Z,-59.434,-27.02,33,3.9,mb,,,,0.7,us,usp0009hmr,2014-11-07T01:08:58.124Z,"South Sandwich Islands region",earthquake
1999-11-06T04:17:30.320Z,-57.367,-25.96,33,5,mwc,,,,0.83,us,usp0009h5h,2015-02-11T17:17:00.000Z,"South Sandwich Islands region",earthquake
1999-11-04T08:07:29.380Z,-57.884,-25.497,33,4.3,mb,,,,1.19,us,usp0009h2n,2014-11-07T01:08:54.388Z,"South Sandwich Islands region",earthquake
1999-11-02T11:47:46.160Z,-59.816,-26.193,33,4.4,mb,,,,0.56,us,usp0009gzd,2014-11-07T01:08:52.463Z,"South Sandwich Islands region",earthquake
1999-11-01T00:34:52.210Z,-59.774,-26.008,33,4.4,mb,,,,0.41,us,usp0009gwv,2014-11-07T01:08:49.315Z,"South Sandwich Islands region",earthquake
1999-10-25T14:18:54.460Z,-57.914,-25.505,33,4.4,mb,,,,1.02,us,usp0009gkb,2014-11-07T01:08:46.231Z,"South Sandwich Islands region",earthquake
1999-10-23T05:51:59.810Z,-56.073,-25.767,33,4.6,mb,,,,0.88,us,usp0009gfg,2014-11-07T01:08:45.759Z,"South Sandwich Islands region",earthquake
1999-10-20T13:38:43.310Z,-57.197,-24.012,33,5.4,mwc,,,,1.06,us,usp0009ga9,2015-02-11T17:16:59.000Z,"South Sandwich Islands region",earthquake
1999-10-19T10:14:10.640Z,-57.753,-25.233,33,4.5,mb,,,,1.2,us,usp0009g7t,2014-11-07T01:08:44.273Z,"South Sandwich Islands region",earthquake
1999-10-18T02:43:23.870Z,-56.121,-26.578,33,6.3,mwc,,,,0.94,us,usp0009g4q,2015-06-30T16:59:02.544Z,"South Sandwich Islands region",earthquake
1999-10-10T07:22:27.620Z,-56.565,-24.069,33,5.2,mb,,,,0.83,us,usp0009fnm,2014-11-07T01:08:41.178Z,"South Sandwich Islands region",earthquake
1999-10-08T17:40:06.840Z,-57.202,-25.897,33,4.6,mb,,,,1.31,us,usp0009fkr,2014-11-07T01:08:40.942Z,"South Sandwich Islands region",earthquake
1999-10-04T00:42:07.960Z,-56.015,-27.347,100,4.5,mb,,,,0.74,us,usp0009fdv,2014-11-07T01:08:39.638Z,"South Sandwich Islands region",earthquake
1999-10-02T17:58:18.780Z,-55.994,-27.854,134.5,5,mb,,,,0.8,us,usp0009fb9,2014-11-07T01:08:38.950Z,"South Sandwich Islands region",earthquake
1999-09-30T05:52:51.440Z,-55.656,-29.072,66.7,5.2,mwc,,,,0.85,us,usp0009f72,2015-02-11T17:16:59.000Z,"South Sandwich Islands region",earthquake
1999-09-26T09:27:19.430Z,-56.026,-27.815,132.3,4.4,mb,,,,0.98,us,usp0009f1y,2014-11-07T01:08:32.520Z,"South Sandwich Islands region",earthquake
1999-09-19T17:42:08.460Z,-55.742,-25.098,33,4.9,mb,,,,1.03,us,usp0009enk,2014-11-07T01:08:30.256Z,"South Sandwich Islands region",earthquake
1999-09-14T04:01:25.900Z,-55.989,-27.809,33,5.5,mb,,,,0.91,us,usp0009ee0,2014-11-07T01:08:28.627Z,"South Sandwich Islands region",earthquake
1999-08-29T05:32:48.360Z,-57.123,-27.29,169.5,4.7,mb,,,,0.87,us,usp0009dsk,2014-11-07T01:08:21.182Z,"South Sandwich Islands region",earthquake
1999-08-23T23:44:52.690Z,-60.715,-26.921,33,4.6,mb,,,,1.43,us,usp0009dj4,2014-11-07T01:08:19.581Z,"South Sandwich Islands region",earthquake
1999-08-19T18:24:11.030Z,-59.711,-32.783,33,4.7,mb,,,,1.18,us,usp0009db6,2014-11-07T01:08:17.668Z,"Scotia Sea",earthquake
1999-08-05T05:39:46.210Z,-55.951,-27.337,33,4.7,mb,,,,1.27,us,usp0009cms,2014-11-07T01:08:14.599Z,"South Sandwich Islands region",earthquake
1999-08-01T00:29:24.430Z,-54.075,-56.089,10,4.2,mb,,,,1.06,us,usp0009ccx,2014-11-07T01:08:10.294Z,"Falkland Islands region",earthquake
1999-07-22T03:21:37.960Z,-59.743,-26.115,33,4.6,mb,,,,0.98,us,usp0009by3,2014-11-07T01:08:07.513Z,"South Sandwich Islands region",earthquake
1999-07-19T18:27:21.220Z,-58.898,-26.289,151.6,4.1,mb,,,,0.83,us,usp0009bv6,2014-11-07T01:08:07.178Z,"South Sandwich Islands region",earthquake
1999-07-17T22:28:18.560Z,-60.36,-47.265,33,4.6,mb,,,,0.73,us,usp0009bs9,2014-11-07T01:08:06.741Z,"Scotia Sea",earthquake
1999-07-17T22:26:08.410Z,-60.202,-47.467,33,5.4,mwc,,,,1.25,us,usp0009bs8,2015-02-11T17:16:57.000Z,"Scotia Sea",earthquake
1999-07-09T08:06:20.820Z,-55.811,-30.188,33,4.3,mb,,,,0.98,us,usp0009bb5,2014-11-07T01:08:04.884Z,"South Sandwich Islands region",earthquake
1999-07-04T06:48:51.980Z,-55.779,-62.999,33,4.3,mb,,,,0.86,us,usp0009b1r,2014-11-07T01:08:02.774Z,"Drake Passage",earthquake
1999-07-04T06:47:46.260Z,-55.943,-63.395,33,4.1,mb,,,,1.2,us,usp0009b1q,2014-11-07T01:08:02.772Z,"Drake Passage",earthquake
1999-07-02T12:57:34.630Z,-58.972,-28.863,33,4.3,mb,,,,1.5,us,usp0009axz,2014-11-07T01:08:01.631Z,"South Sandwich Islands region",earthquake
1999-07-01T18:56:04.000Z,-59.05,-25.718,33,4.8,mb,,,,0.86,us,usp0009aw9,2014-11-07T01:08:01.126Z,"South Sandwich Islands region",earthquake
1999-06-27T00:00:57.980Z,-60.571,-21.452,33,4,mb,,,,0.95,us,usp0009am8,2014-11-07T01:07:57.470Z,"east of the South Sandwich Islands",earthquake
1999-06-25T05:56:29.640Z,-60.768,-25.09,33,4.8,mb,,,,0.89,us,usp0009ag1,2014-11-07T01:07:56.697Z,"South Sandwich Islands region",earthquake
1999-06-22T18:48:17.660Z,-56.274,-27.638,95.9,5.5,mwc,,,,1.08,us,usp0009ab8,2015-02-11T17:16:57.000Z,"South Sandwich Islands region",earthquake
1999-06-09T04:05:44.540Z,-53.039,-46.839,10,5.8,mwc,,,,1.04,us,usp00099jj,2015-05-13T18:53:41.000Z,"South Atlantic Ocean",earthquake
1999-06-09T01:57:24.480Z,-59.416,-24.891,33,4.5,mb,,,,0.51,us,usp00099ja,2014-11-07T01:07:52.717Z,"South Sandwich Islands region",earthquake
1999-06-01T09:31:32.670Z,-56.997,-27.221,33,4.9,mb,,,,0.98,us,usp000994h,2014-11-07T01:07:47.422Z,"South Sandwich Islands region",earthquake
1999-05-31T16:52:30.570Z,-58.556,-25.4,33,4.6,mb,,,,0.75,us,usp0009935,2014-11-07T01:07:45.012Z,"South Sandwich Islands region",earthquake
1999-05-31T03:25:24.610Z,-58.871,-25.378,33,4.4,mb,,,,0.86,us,usp0009926,2014-11-07T01:07:44.938Z,"South Sandwich Islands region",earthquake
1999-05-29T17:39:00.640Z,-58.947,-26.398,137.6,4.6,mb,,,,0.82,us,usp00098zj,2014-11-07T01:07:44.675Z,"South Sandwich Islands region",earthquake
1999-05-29T02:59:26.840Z,-56.018,-27.621,135,4.9,mb,,,,0.74,us,usp00098y8,2014-11-07T01:07:44.043Z,"South Sandwich Islands region",earthquake
1999-05-22T06:35:37.320Z,-61.228,-25.366,33,4.6,mb,,,,1.27,us,usp00098gq,2014-11-07T01:07:42.266Z,"South Sandwich Islands region",earthquake
1999-05-21T14:55:36.700Z,-55.657,-28.829,33,5.1,mb,,,,1.1,us,usp00098fg,2014-11-07T01:07:42.135Z,"South Sandwich Islands region",earthquake
1999-05-21T03:12:17.680Z,-60.788,-24.952,40.8,5.7,mwc,,,,0.81,us,usp00098eg,2015-05-13T18:53:41.000Z,"South Sandwich Islands region",earthquake
1999-05-10T23:57:46.870Z,-59.068,-25.6,33,4.5,mb,,,,0.86,us,usp00097ry,2014-11-07T01:07:39.530Z,"South Sandwich Islands region",earthquake
1999-05-10T21:15:19.040Z,-56.388,-26.913,33,4.5,mb,,,,1.18,us,usp00097rn,2014-11-07T01:07:39.503Z,"South Sandwich Islands region",earthquake
1999-05-09T21:15:43.170Z,-55.369,-29.092,33,4.4,mb,,,,0.74,us,usp00097pp,2014-11-07T01:07:39.214Z,"South Sandwich Islands region",earthquake
1999-05-07T21:50:23.180Z,-62.224,-55.958,10,4.6,mb,,,,0.63,us,usp00097hv,2014-11-07T01:07:38.606Z,"southwestern Atlantic Ocean",earthquake
1999-05-06T04:33:23.410Z,-57.217,-25.568,33,4.6,mb,,,,1.26,us,usp00097e6,2014-11-07T01:07:37.928Z,"South Sandwich Islands region",earthquake
1999-04-28T19:27:10.850Z,-59.465,-27.123,33,5,mb,,,,1.14,us,usp000970d,2014-11-07T01:07:31.357Z,"South Sandwich Islands region",earthquake
1999-04-25T21:00:28.150Z,-57.79,-25.663,33,4.4,mb,,,,0.84,us,usp00096vx,2014-11-07T01:07:30.284Z,"South Sandwich Islands region",earthquake
1999-04-16T21:55:15.010Z,-59.402,-29.693,33,4.3,mb,,,,1.3,us,usp00096dy,2014-11-07T01:07:28.647Z,"South Sandwich Islands region",earthquake
1999-04-14T02:40:59.790Z,-60.178,-24.814,33,4.4,mb,,,,0.71,us,usp000968s,2014-11-07T01:07:28.112Z,"South Sandwich Islands region",earthquake
1999-04-06T13:18:55.650Z,-59.859,-26.457,33,4.7,mb,,,,0.89,us,usp00095w6,2014-11-07T01:07:24.699Z,"South Sandwich Islands region",earthquake
1999-04-03T23:27:33.560Z,-61.054,-24.864,10,4.4,mb,,,,1.3,us,usp00095rn,2014-11-07T01:07:22.611Z,"South Sandwich Islands region",earthquake
1999-04-03T00:31:38.380Z,-57.679,-27.078,150,5.5,mwc,,,,1.12,us,usp00095pj,2015-02-11T17:16:55.000Z,"South Sandwich Islands region",earthquake
1999-04-01T14:12:48.850Z,-55.608,-27.563,33,4.5,mb,,,,1.18,us,usp00095ks,2014-11-07T01:07:20.342Z,"South Sandwich Islands region",earthquake
1999-03-29T21:54:16.400Z,-58.749,-25.185,33,4.8,mb,,,,0.65,us,usp00095f2,2014-11-07T01:07:17.593Z,"South Sandwich Islands region",earthquake
1999-03-29T12:56:07.050Z,-59.037,-25.741,33,4.6,mb,,,,0.47,us,usp00095e5,2014-11-07T01:07:17.526Z,"South Sandwich Islands region",earthquake
1999-03-26T14:27:44.840Z,-57.932,-25.639,76.1,5.3,mwc,,,,0.94,us,usp000957u,2015-02-11T17:16:55.000Z,"South Sandwich Islands region",earthquake
1999-03-24T00:29:58.340Z,-56.45,-27.32,119.7,4.2,mb,,,,1.03,us,usp000952c,2014-11-07T01:07:15.976Z,"South Sandwich Islands region",earthquake
1999-03-21T05:15:14.090Z,-55.822,-27.845,100,4.1,mb,,,,0.81,us,usp00094vm,2014-11-07T01:07:15.259Z,"South Sandwich Islands region",earthquake
1999-03-17T06:05:33.690Z,-59.853,-26.431,33,4.4,mb,,,,0.72,us,usp00094nj,2014-11-07T01:07:14.202Z,"South Sandwich Islands region",earthquake
1999-03-10T21:55:12.520Z,-60.599,-28.987,33,4.6,mb,,,,1.48,us,usp000948w,2014-11-07T01:07:12.890Z,"South Sandwich Islands region",earthquake
1999-03-10T09:57:08.730Z,-54.862,-30.975,33,4.6,mb,,,,0.94,us,usp000947t,2014-11-07T01:07:12.658Z,"South Sandwich Islands region",earthquake
1999-03-08T13:35:12.730Z,-56.39,-27.432,100,4.9,mb,,,,1.07,us,usp000943j,2014-11-07T01:07:12.093Z,"South Sandwich Islands region",earthquake
1999-02-27T05:05:39.910Z,-57.798,-26.259,139.2,4.3,mb,,,,0.91,us,usp00093hp,2014-11-07T01:07:05.385Z,"South Sandwich Islands region",earthquake
1999-02-15T01:12:23.480Z,-56.133,-27.31,33,4.7,mb,,,,0.81,us,usp00092uh,2014-11-07T01:07:01.752Z,"South Sandwich Islands region",earthquake
