#Long;Lat;1º;2º;3º;4º;1+2;1+2+3;1+2+3+4;Pais
-63.616672;-38.416097;14;14;5;2;28;33;35;Argentina
-63.588653;-16.290154;1;1;0;2;2;2;4;Bolivia
-51.92528;-14.235004;9;11;7;3;20;27;30;Brasil
-71.542969;-35.675147;2;4;5;11;6;11;22;Chile
-74.297333;4.570868;1;1;4;2;2;6;8;Colombia
-78.183406;-1.831239;0;0;0;2;0;0;2;Ecuador
-58.443832;-23.442503;2;6;7;7;8;15;22;Paraguay
-75.015152;-9.189967;2;1;8;5;3;11;16;Peru
-55.765835;-32.522779;15;6;9;5;21;30;35;Uruguay
-66.58973;6.42375;0;0;0;1;0;0;1;Venezuela
